median_aud_2014_15, gcc_name16, gccsa_code_2016
49571,"Greater Sydney","1GSYD"
42445,"Rest of NSW","1RNSW"
47515,"Greater Melbourne","2GMEL"
41382,"Rest of Vic.","2RVIC"
48625,"Greater Brisbane","3GBRI"
43689,"Rest of Qld","3RQLD"
46581,"Greater Adelaide","4GADE"
41378,"Rest of SA","4RSAU"
53640,"Greater Perth","5GPER"
50264,"Rest of WA","5RWAU"
45427,"Greater Hobart","6GHOB"
41208,"Rest of Tas.","6RTAS"
60572,"Greater Darwin","7GDAR"
51797,"Rest of NT","7RNTE"
61482,"Australian Capital Territory","8ACTE"
69841,"Other Territories","9OTER"
