gccsa_name_2011, gccsa_code_2011, rime_net_migrtn, year
"Greater Sydney","1GSYD",-14177,"2014"
"Rest of NSW","1RNSW",7320,"2014"
"Greater Melbourne","2GMEL",4143,"2014"
"Rest of Vic.","2RVIC",4640,"2014"
"Greater Brisbane","3GBRI",1991,"2014"
"Rest of Qld","3RQLD",3762,"2014"
"Greater Adelaide","4GADE",-3520,"2014"
"Rest of SA","4RSAU",552,"2014"
"Greater Perth","5GPER",2091,"2014"
"Rest of WA","5RWAU",-1046,"2014"
"Greater Hobart","6GHOB",-213,"2014"
"Rest of Tas.","6RTAS",-955,"2014"
"Greater Darwin","7GDAR",-1255,"2014"
"Rest of NT","7RNTE",-2089,"2014"
"Australian Capital Territory","8ACTE",-1244,"2014"
"Other Territories","9OTER",null,"2014"
