median11, ssc_name, ssc2011
42926.78788,"Abbotsbury",10001
29848.0,"Adelong",10014
48833.87571,"Kurrajong",11296
27154.89655,"Liverpool",11390
60498.33557,"Abbotsford (NSW)",10002
32138.47619,"Aldavilla",10021
25666.91892,"Cambroon",30301
36868.0,"Scottville",31460
54114.66667,"Abercrombie",10003
32020.04969,"Aberdare",10004
40199.85185,"Aberdeen (NSW)",10005
32448.0,"Aberfoyle",10006
47392.96124,"Aberglasslyn",10007
22914.66667,"Carroll",10478
30024.54321,"Abermain",10008
29662.28571,"Abernethy",10009
53292.0678,"Acacia Gardens",10010
22638.90909,"Adaminaby",10011
33548.0,"Cartwrights Hill",10482
65662.28571,"Carwoola",10483
39690.85714,"Picton East",50644
43848.0,"Adamstown",10012
49570.22222,"Adamstown Heights",10013
68163.05376,"Castle Cove",10486
43281.33333,"Castle Doyle",10487
55757.0,"Castle Hill (NSW)",10488
40805.14286,"Castle Rock",10489
80515.90123,"Castlecrag",10490
28637.65517,"Piesseville",50646
29493.45455,"Pingaring",50647
42226.26087,"Agnes Banks",10015
18582.87544,"Airds",10016
13078.0,"Akolele",10017
28769.2766,"Argenton",10049
40505.30918,"Albion Park",10018
33919.98444,"Albion Park Rail",10019
45754.94444,"Albury",10020
67160.3494,"Alexandria",10022
52086.29787,"Alfords Point",10023
32396.0,"Alison (Dungog - NSW)",10024
37813.77181,"Allawah",10027
24214.66667,"Allgomera",10028
20240.68293,"Argents Hill",10050
14248.0,"Titjikala",70185
50940.5,"Allambie Heights",10025
44487.13043,"Allandale (NSW)",10026
49160.61261,"Ashtonfield",10067
25428.0,"Cullen Bullen",10659
36198.0,"Cumbalum",10660
32566.18182,"Allworth",10029
27248.0,"Allynbrook",10030
36348.0,"Alumy Creek",10033
41028.0,"Cumberland Reach",10661
46442.11765,"Cumboogle",10662
35625.77778,"Alstonvale",10031
34773.06527,"Alstonville",10032
47424.92308,"Asquith",10068
35672.67532,"Attunga",10069
23692.43952,"Auburn (NSW)",10070
56904.25,"Austinmer",10071
16316.18182,"Cumborah",10663
34327.5501,"Ambarvale",10034
37734.66667,"Angledale",10035
37191.24324,"Anglers Reach",10036
35605.14286,"Balaclava (NSW)",10080
25948.0,"Angourie",10037
27285.14286,"Balala",10081
27579.37255,"Cumnock",10664
25288.84507,"Mount Lewis",11622
43438.90909,"Mount Olive (Singleton - NSW)",11623
41786.53211,"Yulara",70216
33006.63454,"Anna Bay",10038
34313.21739,"Currarong",10673
68132.40367,"Annandale (NSW)",10039
50379.74603,"Annangrove",10040
45412.22018,"Appin (NSW)",10041
38510.83186,"Arcadia Vale",10046
18148.0,"Apsley (NSW)",10042
32039.42857,"Arakoon",10043
31600.17391,"Araluen (NSW)",10044
49636.88889,"Arcadia (NSW)",10045
38081.33333,"Arding",10047
18683.29412,"Ardlethan",10048
27838.90909,"Currawarna",10674
23700.08333,"Acton (ACT)",80001
24826.43137,"Ariah Park",10051
32708.0,"Armatree",10052
