median_aud_2014_15, sa4_name16, sa4_code_2016
44110,"Capital Region","101"
43677,"Central Coast","102"
43834,"Central West","103"
37017,"Coffs Harbour - Grafton","104"
43739,"Far West and Orana","105"
45556,"Hunter Valley exc Newcastle","106"
46554,"Illawarra","107"
35997,"Mid North Coast","108"
42086,"Murray","109"
40516,"New England and North West","110"
47165,"Newcastle and Lake Macquarie","111"
37275,"Richmond - Tweed","112"
44408,"Riverina","113"
38935,"Southern Highlands and Shoalhaven","114"
51858,"Sydney - Baulkham Hills and Hawkesbury","115"
49089,"Sydney - Blacktown","116"
52586,"Sydney - City and Inner South","117"
59999,"Sydney - Eastern Suburbs","118"
43307,"Sydney - Inner South West","119"
53105,"Sydney - Inner West","120"
60040,"Sydney - North Sydney and Hornsby","121"
53061,"Sydney - Northern Beaches","122"
49375,"Sydney - Outer South West","123"
49470,"Sydney - Outer West and Blue Mountains","124"
44029,"Sydney - Parramatta","125"
50837,"Sydney - Ryde","126"
45075,"Sydney - South West","127"
52884,"Sydney - Sutherland","128"
42208,"Ballarat","201"
42223,"Bendigo","202"
44113,"Geelong","203"
41140,"Hume","204"
40298,"Latrobe - Gippsland","205"
54176,"Melbourne - Inner","206"
49512,"Melbourne - Inner East","207"
53035,"Melbourne - Inner South","208"
46982,"Melbourne - North East","209"
45421,"Melbourne - North West","210"
46139,"Melbourne - Outer East","211"
43878,"Melbourne - South East","212"
46964,"Melbourne - West","213"
43979,"Mornington Peninsula","214"
39202,"North West","215"
40160,"Shepparton","216"
40448,"Warrnambool and South West","217"
49737,"Brisbane - East","301"
51527,"Brisbane - North","302"
47443,"Brisbane - South","303"
53307,"Brisbane - West","304"
55557,"Brisbane Inner City","305"
42343,"Cairns","306"
39272,"Darling Downs - Maranoa","307"
52917,"Central Queensland","308"
42720,"Gold Coast","309"
46527,"Ipswich","310"
45567,"Logan - Beaudesert","311"
51214,"Mackay - Isaac - Whitsunday","312"
42981,"Moreton Bay - North","313"
50772,"Moreton Bay - South","314"
47846,"Queensland - Outback","315"
40014,"Sunshine Coast","316"
45425,"Toowoomba","317"
50066,"Townsville","318"
37111,"Wide Bay","319"
49857,"Adelaide - Central and Hills","401"
45038,"Adelaide - North","402"
46411,"Adelaide - South","403"
46216,"Adelaide - West","404"
42397,"Barossa - Yorke - Mid North","405"
48334,"South Australia - Outback","406"
38594,"South Australia - South East","407"
46024,"Bunbury","501"
48157,"Mandurah","502"
61685,"Perth - Inner","503"
52743,"Perth - North East","504"
53500,"Perth - North West","505"
51806,"Perth - South East","506"
55180,"Perth - South West","507"
45573,"Western Australia - Wheat Belt","509"
70392,"Western Australia - Outback (North)","510"
52825,"Western Australia - Outback (South)","511"
45427,"Hobart","601"
41811,"Launceston and North East","602"
36927,"South East","603"
41816,"West and North West","604"
60572,"Darwin","701"
51797,"Northern Territory - Outback","702"
61482,"Australian Capital Territory","801"
69841,"Other Territories","901"
