sa4_code_2011, rime_net_migrtn, year, sa4_name_2011
"101",514,"2014","Capital Region"
"102",2057,"2014","Central Coast"
"103",148,"2014","Central West"
"107",623,"2014","Illawarra"
"104",-50,"2014","Coffs Harbour - Grafton"
"105",-693,"2014","Far West and Orana"
"106",1462,"2014","Hunter Valley exc Newcastle"
"108",1387,"2014","Mid North Coast"
"109",374,"2014","Murray"
"110",-401,"2014","New England and North West"
"111",1091,"2014","Newcastle and Lake Macquarie"
"112",1615,"2014","Richmond - Tweed"
"113",-506,"2014","Riverina"
"114",1756,"2014","Southern Highlands and Shoalhaven"
"115",901,"2014","Sydney - Baulkham Hills and Hawkesbury"
"116",-952,"2014","Sydney - Blacktown"
"117",-716,"2014","Sydney - City and Inner South"
"118",-2961,"2014","Sydney - Eastern Suburbs"
"119",-6892,"2014","Sydney - Inner South West"
"120",-2603,"2014","Sydney - Inner West"
"121",-957,"2014","Sydney - North Sydney and Hornsby"
"122",687,"2014","Sydney - Northern Beaches"
"123",1485,"2014","Sydney - Outer South West"
"124",1244,"2014","Sydney - Outer West and Blue Mountains"
"125",-3986,"2014","Sydney - Parramatta"
"126",-478,"2014","Sydney - Ryde"
"127",-1137,"2014","Sydney - South West"
"128",131,"2014","Sydney - Sutherland"
"201",1152,"2014","Ballarat"
"202",1263,"2014","Bendigo"
"203",2159,"2014","Geelong"
"204",592,"2014","Hume"
"205",1046,"2014","Latrobe - Gippsland"
"206",-939,"2014","Melbourne - Inner"
"207",-2306,"2014","Melbourne - Inner East"
"208",-976,"2014","Melbourne - Inner South"
"209",2147,"2014","Melbourne - North East"
"210",1196,"2014","Melbourne - North West"
"211",-2075,"2014","Melbourne - Outer East"
"212",-356,"2014","Melbourne - South East"
"213",5445,"2014","Melbourne - West"
"214",2007,"2014","Mornington Peninsula"
"215",-900,"2014","North West"
"216",-233,"2014","Shepparton"
"217",-439,"2014","Warrnambool and South West"
"301",428,"2014","Brisbane - East"
"302",40,"2014","Brisbane - North"
"303",-3995,"2014","Brisbane - South"
"304",-729,"2014","Brisbane - West"
"305",-1118,"2014","Brisbane Inner City"
"306",-806,"2014","Cairns"
"307",-453,"2014","Darling Downs - Maranoa"
"308",-66,"2014","Fitzroy"
"309",3167,"2014","Gold Coast"
"310",2757,"2014","Ipswich"
"311",-548,"2014","Logan - Beaudesert"
"312",-1789,"2014","Mackay"
"313",2558,"2014","Moreton Bay - North"
"314",2598,"2014","Moreton Bay - South"
"315",-1335,"2014","Queensland - Outback"
"316",4807,"2014","Sunshine Coast"
"317",150,"2014","Toowoomba"
"318",-539,"2014","Townsville"
"319",626,"2014","Wide Bay"
"401",-1384,"2014","Adelaide - Central and Hills"
"402",-743,"2014","Adelaide - North"
"403",-705,"2014","Adelaide - South"
"404",-688,"2014","Adelaide - West"
"405",707,"2014","Barossa - Yorke - Mid North"
"406",-554,"2014","South Australia - Outback"
"407",399,"2014","South Australia - South East"
"501",2021,"2014","Bunbury"
"502",2078,"2014","Mandurah"
"503",-627,"2014","Perth - Inner"
"504",1797,"2014","Perth - North East"
"505",-1800,"2014","Perth - North West"
"506",-2168,"2014","Perth - South East"
"507",2811,"2014","Perth - South West"
"508",-2999,"2014","Western Australia - Outback"
"509",-68,"2014","Western Australia - Wheat Belt"
"601",-213,"2014","Hobart"
"602",-626,"2014","Launceston and North East"
"603",112,"2014","South East"
"604",-441,"2014","West and North West"
"701",-1255,"2014","Darwin"
"702",-2089,"2014","Northern Territory - Outback"
"801",-1244,"2014","Australian Capital Territory"
"901",null,"2014","Other Territories"
